skew,df,es_v_in,es_c_in,es_v_out,es_c_out,es95_v_in,es95_c_in,es95_v_out,es95_c_out,var_v,var_c,es_ratio_in,es_ratio_out,es95_ratio_in,es95_ratio_out
symmetric,8.0,0.7393634465839067,0.5284067404626429,0.8803647289332126,1.0889486864075621,0.5454255718823054,0.4229948344311227,0.6188277025368819,0.7628923967080563,0.08139423950468481,0.12352494831075597,1.399231671300336,0.808453823327096,1.289437902039247,0.811159876815098
symmetric,6.0,0.7380442709069694,0.5388051637641146,0.9417751123432432,1.1633125888295446,0.5421983754877262,0.4199141950944826,0.6336452428994568,0.7832300186428871,0.08187401699309863,0.12564125228512626,1.3697795057325777,0.8095632432644788,1.2912123043750143,0.8090155226652092
symmetric,5.0,0.7739904209102336,0.5374779915442256,0.9899284618706574,1.2425177057741013,0.5493199688263415,0.41208228428291777,0.642964867925321,0.8052442991524515,0.0823278148474134,0.12971028882716415,1.4400411423107489,0.7967117549072846,1.333034662682083,0.7984718036527109
symmetric,4.5,0.7994961878232456,0.5297037568172225,1.02029660674076,1.2953418820464684,0.5531483800055963,0.4139306344390851,0.6458951832080215,0.8185805040517824,0.08225793433048731,0.1324913073850164,1.5093270106806447,0.7876658825613101,1.3363310999079938,0.7890429591359569
left-skewed,8.0,1.3983903474293005,1.0238117241452558,1.7722921859821763,2.099147048027785,1.0253175592858956,0.8356152393107804,1.187627656245529,1.4318445246043052,0.12175659156650627,0.21477907474742897,1.3658667062020287,0.8442915838827493,1.227021134908433,0.8294389759766226
left-skewed,6.0,1.85033546270639,1.2075245811498518,2.476737610376225,2.9312423504502236,1.2472919478764086,0.976389963953505,1.4828632552812808,1.827140335408135,0.1790622876601521,0.3351822643770538,1.5323377193236336,0.8449446733723027,1.277452651014553,0.8115760057095167
left-skewed,5.0,2.321011106102078,1.3303700582919735,3.414751462794258,3.9964086775431915,1.4686065675376314,1.0877868032540654,1.8353240612009656,2.27958133343932,0.3006501377765912,0.5390915296042117,1.744635706159805,0.8544550215753935,1.3500867662159173,0.8051145332164653
left-skewed,4.5,2.6786306509600992,1.438461908812285,4.399033584771562,5.072568786957807,1.620229134716516,1.1701950300540211,2.166792305642273,2.6649024408963076,1.1262479387162023,1.4178271087951935,1.8621491709653972,0.8672200948919636,1.3845804272828943,0.8130850392082265
