c_ratio,p,n,naive_pinv_oos_var,ledoit_wolf_oos_var,oracle_oos_var
0.3,75,250,0.07293289071686081,0.05856005977016989,0.05126291264775491
0.5,125,250,0.06241047751814811,0.03642475300155646,0.031263559595787804
0.7,175,250,0.07632270078655373,0.02648928458073209,0.02248508259910017
0.9,225,250,0.17673230683574817,0.02070186735491955,0.017540855215031622
1.1,275,250,0.14369290529327433,0.01702645881041272,0.01441247649774054
1.5,375,250,0.02881588984777456,0.012439632560248324,0.010577550902138218
